tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871242	tvEpisode	NWA-TNA Weekly PPV #22	NWA-TNA Weekly PPV #22	0	2002	\N	\N	Action,Sport
tt0871243	tvEpisode	NWA-TNA Weekly PPV #23	NWA-TNA Weekly PPV #23	0	2002	\N	\N	Action,Sport
tt0871244	tvEpisode	Episode #1.3	Episode #1.3	0	2006	\N	\N	Game-Show
tt0871245	tvEpisode	Episode #1.4	Episode #1.4	0	2006	\N	\N	Game-Show
tt0871246	tvEpisode	Episode #1.5	Episode #1.5	0	2006	\N	\N	Game-Show
tt0871247	tvEpisode	Episode #1.6	Episode #1.6	0	2006	\N	\N	Game-Show
tt0871248	tvEpisode	Episode #1.7	Episode #1.7	0	2006	\N	\N	Game-Show
tt0871249	tvEpisode	Episode #1.8	Episode #1.8	0	2006	\N	\N	Game-Show
tt0871250	tvEpisode	Top 5 Performance Show: Pop	Top 5 Performance Show: Pop	0	2006	\N	\N	Game-Show,Music,Reality-TV
tt0871251	tvEpisode	Top 5 Results Show	Top 5 Results Show	0	2006	\N	\N	Game-Show,Music,Reality-TV
tt0871252	tvEpisode	Top 6 Performance Show: Groove	Top 6 Performance Show: Groove	0	2006	\N	\N	Game-Show,Music,Reality-TV
tt0871253	tvEpisode	Top 6 Results Show	Top 6 Results Show	0	2006	\N	\N	Game-Show,Music,Reality-TV
tt0871254	tvEpisode	Episode #5.12	Episode #5.12	0	2006	\N	\N	News
tt0871255	tvEpisode	Episode #2.11	Episode #2.11	0	2006	\N	\N	Comedy,News,Talk-Show
tt0871256	tvEpisode	Episode dated 17 April 1999	Episode dated 17 April 1999	0	1999	\N	\N	Comedy,Music
tt0871257	tvEpisode	Episode dated 24 April 1999	Episode dated 24 April 1999	0	1999	\N	\N	Comedy,Music
tt0871258	tvEpisode	Episode dated 1 May 1999	Episode dated 1 May 1999	0	1999	\N	\N	Comedy,Music
tt0871259	tvEpisode	Episode dated 8 May 1999	Episode dated 8 May 1999	0	1999	\N	\N	Comedy,Music
tt0871260	tvEpisode	Episode dated 15 May 1999	Episode dated 15 May 1999	0	1999	\N	\N	Comedy,Music
tt0871261	tvEpisode	Episode dated 22 May 1999	Episode dated 22 May 1999	0	1999	\N	\N	Comedy,Music
tt0871262	tvEpisode	Episode dated 29 May 1999	Episode dated 29 May 1999	0	1999	\N	\N	Comedy,Music
tt0871263	tvEpisode	Episode dated 5 June 1999	Episode dated 5 June 1999	0	1999	\N	\N	Comedy,Music
tt0871264	tvEpisode	Episode dated 12 June 1999	Episode dated 12 June 1999	0	1999	\N	\N	Comedy,Music
tt0871265	tvEpisode	Episode dated 19 June 1999	Episode dated 19 June 1999	0	1999	\N	\N	Comedy,Music
tt0871266	tvEpisode	Episode dated 26 June 1999	Episode dated 26 June 1999	0	1999	\N	\N	Comedy,Music
tt0871267	tvEpisode	Episode dated 23 September 2000	Episode dated 23 September 2000	0	2000	\N	\N	Comedy,Music
tt0871268	tvEpisode	Episode dated 30 September 2000	Episode dated 30 September 2000	0	2000	\N	\N	Comedy,Music
tt0871269	tvEpisode	Episode dated 7 October 2000	Episode dated 7 October 2000	0	2000	\N	\N	Comedy,Music
tt0871270	tvEpisode	Episode dated 13 March 1999	Episode dated 13 March 1999	0	1999	\N	\N	Music
